Stock,Amt_Invstd,ActualPrice_1May,Shares,ActualPrice_1Oct,ActualValue,PredPrice_1Oct,PredValue
MARUTI,18064.94,12125.76,1.489798964395885,15965.0,23784.64,15979.62,23806.42
EICHERMOT,5012.52,5495.74,0.9120735038566633,7021.5,6404.12,6981.22,6367.38
SBIN,5435.71,773.13,7.030815849666628,864.1,6075.33,849.08,5969.72
UPL,458.81,663.83,0.6911634432014105,661.45,457.17,656.48,453.73
NESTLEIND,16044.4,1189.1,13.492886066232426,1166.4,15738.1,1155.08,15585.38
APOLLOHOSP,15596.73,6968.08,2.2383112530109903,7441.0,16655.27,7502.89,16793.8
HINDALCO,2676.77,620.1,4.3166503395516385,765.95,3306.34,755.74,3262.27
JSWSTEEL,1399.8,1027.03,1.3629531129709158,1146.1,1562.08,1137.36,1550.17
IOC,13624.1,134.94,100.96365077869767,149.7,15114.26,147.36,14877.58
SUNPHARMA,21686.22,1826.29,11.874480796224232,1636.2,19429.02,1616.76,19198.18
TOTAL,100000.0,,,,108526.34,,107864.64
