Sector,Stock,Best_By_RMSE_Model,Best_By_RMSE_Value,Best_By_RMSE_Mean_Model,Best_By_RMSE_Mean_Value
Auto,BAJAJ-AUTO,HYBRID,229.8697,HYBRID,0.0311
Auto,EICHERMOT,LSTM,108.0803,LSTM,0.024
Auto,M&M,HYBRID,78.7938,HYBRID,0.0336
Auto,MARUTI,HYBRID,219.5035,HYBRID,0.0192
Auto,TATAMOTORS,HYBRID,27.1665,HYBRID,0.038
Bank,AXISBANK,HYBRID,20.1367,HYBRID,0.0187
Bank,HDFCBANK,LSTM,12.079,LSTM,0.0145
Bank,ICICIBANK,HYBRID,19.4472,HYBRID,0.017
Bank,KOTAKBANK,HYBRID,30.551,HYBRID,0.0163
Bank,SBIN,HYBRID,15.3174,HYBRID,0.0216
Chemicals,PIDILITIND,HYBRID,21.925,HYBRID,0.0157
Chemicals,PIIND,CNN,78.7259,CNN,0.0214
Chemicals,SOLARINDS,HYBRID,366.0507,HYBRID,0.0405
Chemicals,SRF,HYBRID,51.1441,HYBRID,0.0201
Chemicals,UPL,HYBRID,13.2413,HYBRID,0.0218
FMCG,BRITANNIA,LSTM,89.1231,LSTM,0.0176
FMCG,HINDUNILVR,HYBRID,34.9445,HYBRID,0.0144
FMCG,ITC,HYBRID,6.793,HYBRID,0.0163
FMCG,NESTLEIND,HYBRID,19.2404,HYBRID,0.0166
FMCG,TATACONSUM,HYBRID,21.0519,HYBRID,0.0211
Healthcare,APOLLOHOSP,HYBRID,129.9658,HYBRID,0.0211
Healthcare,CIPLA,HYBRID,28.4942,HYBRID,0.0212
Healthcare,DIVISLAB,LSTM,132.1639,LSTM,0.028
Healthcare,MAXHEALTH,HYBRID,29.1362,HYBRID,0.0339
Healthcare,SUNPHARMA,HYBRID,30.2088,HYBRID,0.0207
IT,HCLTECH,HYBRID,33.0684,HYBRID,0.0235
IT,INFY,HYBRID,33.3266,HYBRID,0.0222
IT,TCS,HYBRID,63.2092,HYBRID,0.018
IT,TECHM,HYBRID,29.3272,HYBRID,0.0222
IT,WIPRO,HYBRID,4.9779,HYBRID,0.0214
Media,NAZARA,HYBRID,7.9155,HYBRID,0.0358
Media,PVRINOX,HYBRID,33.9572,HYBRID,0.0249
Media,SAREGAMA,LSTM,15.8072,LSTM,0.0366
Media,SUNTV,HYBRID,15.9976,HYBRID,0.0268
Media,ZEEL,HYBRID,7.8047,HYBRID,0.0486
Metal,ADANIENT,HYBRID,133.0427,HYBRID,0.0516
Metal,HINDALCO,LSTM,15.9508,LSTM,0.0271
Metal,JSWSTEEL,LSTM,18.002,LSTM,0.0201
Metal,TATASTEEL,HYBRID,3.4091,HYBRID,0.0247
Metal,VEDL,HYBRID,11.5242,HYBRID,0.0343
OilGas,BPCL,HYBRID,7.8742,HYBRID,0.0315
OilGas,GAIL,HYBRID,5.1269,HYBRID,0.032
OilGas,IOC,HYBRID,4.0181,HYBRID,0.0319
OilGas,ONGC,HYBRID,6.3121,HYBRID,0.0293
OilGas,RELIANCE,HYBRID,23.7057,HYBRID,0.018
Pharma,CIPLA,HYBRID,28.4942,HYBRID,0.0212
Pharma,DIVISLAB,LSTM,132.1639,LSTM,0.028
Pharma,DRREDDY,HYBRID,21.1371,HYBRID,0.0181
Pharma,LUPIN,HYBRID,46.6015,HYBRID,0.0293
Pharma,SUNPHARMA,HYBRID,30.2088,HYBRID,0.0207
